"","site","mean_conc","sd_conc","n","CI","lower_ci","upper_ci"
"1","A",23.0586544492669,7.41209171032652,4,7.26371640117393,15.794938048093,30.3223708504409
"2","B",16.1519849977251,5.16486456468886,5,4.52712020997504,11.6248647877501,20.6791052077001
"3","C",26.6184928437101,13.2603191680079,5,11.6229686459987,14.9955241977115,38.2414614897088
"4","D",9.84014496139321,4.10267300516944,3,4.64252624422915,5.19761871716405,14.4826712056224
"5","E",13.3421686927639,7.13028856388098,2,9.88189418939942,3.46027450336444,23.2240628821633
"6","F",6.94623958043084,5.13474048956243,3,5.81039908617214,1.1358404942587,12.756638666603
