"","site","As75","Cd111","Cd114","Cr52","Cr53","Pb208"
"1","A",2867.85797377585,117.160708141432,249.024521911008,23733.7289768306,24472.6205777021,402301.391549476
"2","B",3093.91704691336,137.624366963979,278.668208337066,16912.8812752483,17352.3381471278,356024.869257629
"3","C",3774.72360471949,166.306616609713,297.842673027941,34009.374979826,34947.4305532976,281816.83440317
"4","D",2236.02356067536,138.380541657044,203.061423740461,12967.8935219192,13322.0261277924,197491.730507235
"5","E",4119.13145118612,113.568557678788,140.164123033608,19491.8335087836,20029.482761161,120736.445836902
"6","F",3539.38705780535,84.3112039597376,99.8391306302755,11555.3992864963,11747.3132039738,99138.0905164555
