"","site","As75","Cd111","Cd114","Cr52","Cr53","Pb208"
"1","A",1055.6557864209,19.9070859279321,112.765893861626,7605.0518893204,7919.7791265458,316270.769525353
"2","B",982.505996705804,46.9265003980807,101.731726365096,5061.06283420148,5238.65857799092,333583.601909836
"3","C",1401.34657062943,38.5150459263486,147.74541580277,16942.3039164151,17436.910458591,48726.5471014546
"4","D",517.222392363585,16.0465157255665,55.4478639724897,4465.85474970576,4682.24128511504,106609.847014084
"5","E",1733.74540825953,7.8945119903598,30.5384272162609,8835.60743845372,9200.22182938429,4649.43127336423
"6","F",2439.87055136557,40.2168071644513,56.1884739653546,7996.30207361064,8117.85693078097,67164.6909181372
